valid,ids
FALSE,86
TRUE,33
FALSE,27
FALSE,61
TRUE,34
FALSE,19
FALSE,111
TRUE,133
TRUE,5
FALSE,76
TRUE,1
FALSE,81
FALSE,126
FALSE,59
FALSE,119
FALSE,82
FALSE,40
TRUE,60
FALSE,99
FALSE,72
FALSE,39
FALSE,114
TRUE,3
FALSE,57
FALSE,102
FALSE,68
FALSE,112
FALSE,16
FALSE,62
TRUE,90
FALSE,31
FALSE,123
FALSE,115
FALSE,69
FALSE,120
TRUE,92
FALSE,67
FALSE,70
FALSE,20
FALSE,49
FALSE,84
TRUE,96
FALSE,6
TRUE,37
FALSE,43
FALSE,88
FALSE,29
FALSE,113
FALSE,23
FALSE,77
FALSE,21
FALSE,129
FALSE,116
FALSE,85
FALSE,7
TRUE,52
TRUE,91
FALSE,55
TRUE,128
FALSE,121
TRUE,124
FALSE,98
TRUE,63
FALSE,26
FALSE,97
TRUE,32
TRUE,13
TRUE,0
FALSE,18
FALSE,110
FALSE,11
FALSE,104
FALSE,95
FALSE,8
FALSE,75
FALSE,78
FALSE,117
FALSE,118
FALSE,103
FALSE,9
FALSE,48
TRUE,74
FALSE,101
TRUE,71
FALSE,56
TRUE,24
FALSE,53
FALSE,134
FALSE,45
TRUE,80
TRUE,135
FALSE,51
FALSE,22
TRUE,66
FALSE,47
FALSE,94
TRUE,41
TRUE,73
FALSE,83
FALSE,79
FALSE,130
FALSE,50
FALSE,44
TRUE,36
TRUE,58
FALSE,122
TRUE,127
FALSE,17
FALSE,25
FALSE,132
FALSE,109
FALSE,108
TRUE,107
TRUE,105
TRUE,30
TRUE,10
TRUE,38
TRUE,65
FALSE,12
TRUE,54
TRUE,46
TRUE,93
FALSE,131
FALSE,28
FALSE,35
FALSE,64
FALSE,125
FALSE,2
FALSE,89
FALSE,106
TRUE,14
FALSE,87
TRUE,4
FALSE,15
FALSE,42
FALSE,100
