kernel_name,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,embedding_100,embedding_101,embedding_102,embedding_103,embedding_104,embedding_105,embedding_106,embedding_107,embedding_108,embedding_109,embedding_110,embedding_111,embedding_112,embedding_113,embedding_114,embedding_115,embedding_116,embedding_117,embedding_118,embedding_119,embedding_120,embedding_121,embedding_122,embedding_123,embedding_124,embedding_125,embedding_126,embedding_127,embedding_128,perf,util-LUT,util-FF,util-DSP,util-BRAM
gemm-blocked,32.0,50.0,1.0,50.0,50.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6460991,-0.10373774,-0.7842671,-0.26679677,-0.5259877,2.1112022,0.17650765,-0.24517125,-0.5157767,-0.36364368,1.3732754,-0.44221234,-0.7839788,-0.55790865,-0.8604747,-0.6379248,0.51464885,0.6438044,-0.542141,1.3666135,-0.37123555,1.8938992,-0.72700346,0.049545314,-0.5318768,-0.32295808,0.01847324,-0.16091238,-0.39478144,1.0839546,-0.47486043,0.27214298,-0.25930482,0.86327666,-0.33679733,0.22413863,-0.14271422,0.71647364,-0.43888885,-0.63038194,0.433395,-0.83683646,-0.1719444,-0.031727158,-0.36907303,-0.34022632,0.63858974,-0.29383668,0.605651,-0.4895652,-0.102393195,2.9120748,0.23242402,-0.7523376,0.7728042,0.10730406,1.1672775,-0.79459006,-0.10653056,-0.7243736,-0.07734015,-0.07940981,-0.7674394,-0.4789491,-0.097136945,0.7876429,-0.15201464,-0.12787306,-0.08445167,1.2521961,0.54303455,0.8056501,0.7664693,0.12848276,0.7084103,-0.14604983,-0.11768548,-0.11522504,-0.14606294,0.51048553,0.22563317,0.7213589,-0.022500813,-0.013329202,-0.076156676,2.678359,0.29336452,0.3337862,0.80577755,-0.13870998,-0.03928124,-0.11783681,-0.12927334,0.71435636,-0.124434836,2.0626523,-0.09715016,0.7053389,0.7259141,-0.09168406,-0.04984302,0.8101311,-0.0877811,-0.14557594,0.39288855,-0.08550434,1.142105,0.11374328,0.17587292,0.14247264,0.7215899,-0.10796636,0.9602778,0.40142512,2.0826113,1.5269365,-0.036173355,-0.14206092,1.3650795,-0.11025446,1.282887,-0.13967311,-0.06604922,1.1509494,1.2640538,0.6119979,-0.14438389,0.8209041,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,32.0,50.0,50.0,1.0,100.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532444,-0.18649088,-0.8028341,-0.3333944,-0.43498906,4.06227,2.4504437,-0.024966199,-0.5732156,-0.34899914,2.6745033,-0.49029428,-0.78561896,-0.5403371,-0.8794977,-0.6821517,0.5863418,3.275051,-0.54924154,1.8000073,-0.24966507,3.1263895,-0.69926,2.1444497,-0.6192621,-0.23469219,-0.021912606,-0.16528535,1.1536925,0.45566338,-0.42257762,2.6011949,-0.31313002,2.3282864,-0.3648895,0.115674525,0.8947796,2.3852055,-0.32014567,-0.6614687,-0.36702853,-0.3840667,0.17254598,0.41577724,-0.6229706,-0.34165323,-0.18759741,-0.20737721,0.162918,-0.39952743,-0.24049965,4.8652554,0.19544591,-0.35669693,1.3051476,-0.016416067,0.9212072,-0.7545754,-0.12561445,-0.8243328,-0.18684575,0.23928823,-0.70878124,-0.35672417,0.39003852,0.7376492,-0.19471575,-0.17986889,0.21601762,2.4742968,1.8709987,1.6327896,1.3934009,0.44425556,1.6176828,-0.1890021,0.36143482,-0.13616373,-0.19626346,0.80008656,1.012665,3.039254,-0.18408063,0.78076917,-0.068274386,3.975815,0.43409386,1.7479903,0.7237245,-0.16697508,1.3235875,-0.14917462,0.8528924,0.48434028,-0.120196044,3.82173,-0.15320751,1.5569665,2.2036626,-0.14393869,0.23999958,1.7859174,0.07427179,-0.18990342,0.4393146,-0.1548411,2.5908952,0.4031301,0.51090103,-0.15079421,0.95242757,-0.12306298,0.29354438,1.4948921,1.5871563,3.2106624,0.24784815,-0.089379795,1.8137947,-0.17172784,0.6544399,0.06649786,0.50230765,0.8954135,1.4366267,1.2289633,-0.18740168,0.48934364,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,4.0,1.0,1.0,50.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5986244,-0.084932365,-0.72046506,-0.2369144,-0.26355073,0.29321036,-0.7977787,0.04140926,-0.57332385,-0.15703137,0.5913536,-0.40174046,-0.7667503,-0.53839666,-0.858978,-0.51707643,0.2618339,-0.532371,-0.5545154,1.7833229,-0.19221714,-0.75072443,-0.415469,-0.6252116,-0.3321314,-0.29137343,0.08266688,-0.12160407,-0.36305833,0.74510276,-0.17811868,-0.516634,0.15061592,-0.14023612,-0.34954074,0.29556894,0.33584756,-0.68097794,-0.41694388,-0.44814873,-0.30694723,-0.7493941,-0.5752529,0.104465514,-0.8339602,-0.49411425,-0.09359081,-0.262857,0.17274863,-0.4019934,-0.122058384,0.6866251,0.33426705,-0.49185804,-0.0891547,0.29542595,1.2969115,-0.5483564,0.15162654,-0.5897558,-0.14394966,-0.060171977,-0.73128796,-0.54303443,0.24417669,-0.10666514,-0.13851759,-0.13761766,3.0226746,0.6362668,-0.15039754,0.7325709,-0.14182936,0.101395614,1.3168974,-0.14249855,-0.14125365,-0.12431012,-0.15100227,0.63343835,1.6231076,0.14758752,-0.14003345,1.2176071,-0.080643386,1.6080377,0.8300927,1.1098689,1.0690846,-0.13979042,0.9741402,-0.11519034,-0.12409493,1.2732165,1.1959989,1.694301,1.853334,-0.06938714,0.19853899,-0.09227957,0.9662188,0.3970202,0.03087609,-0.10982714,-0.13583559,-0.120597005,1.1220703,-0.11081531,3.2066295,0.464338,0.60983485,0.009046443,0.9130918,0.52951914,0.011810882,4.476144,-0.0711758,-0.10333133,2.8400009,0.15744725,1.1654195,0.24323347,2.5043814,0.90155494,0.8482963,1.803495,-0.14146675,-0.14675023,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,64.0,50.0,50.0,1.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006533698,0.16717087,-0.80248934,-0.34251136,-0.43361905,2.3111198,0.08428571,-0.056519218,-0.61940587,0.08316028,1.7520775,0.8386417,-0.78173786,-0.5965739,-0.87950224,-0.7186559,1.2053239,0.5640746,-0.19635354,1.6224251,0.10981743,1.5239474,-0.7823467,0.35175496,-0.6132642,-0.241039,0.8137939,-0.18232182,-0.4530363,2.6125865,-0.52138036,0.29762495,-0.31310293,1.3593875,0.30366302,0.973861,0.76304686,0.58450955,-0.2480266,-0.6613882,0.3433815,-0.471937,0.17756826,0.44037408,-0.41335815,-0.06804926,0.4835883,-0.27193692,1.0434924,-0.045701906,1.3043133,3.1639144,1.1923828,-0.4975039,1.6465694,-0.016470466,1.4818344,1.0283241,-0.10906533,-0.8492226,-0.25615442,-0.2094064,0.51374054,-0.37431964,-0.14413086,-0.027361305,-0.16080555,-0.15026355,0.2687563,1.5823241,0.49275556,0.6499992,0.55924255,0.488486,0.7627049,-0.12843794,0.60829633,-0.12538911,-0.16265464,-0.033495598,1.3101958,1.4834251,-0.08869069,0.7559526,-0.08061783,2.6976554,0.4532615,0.7282248,-0.024497539,-0.13432561,1.8483814,-0.12479758,-0.13173291,1.2791255,-0.13325717,1.1344457,-0.11769486,0.7924908,1.9734375,-0.086361594,0.3341795,0.78449684,0.12161675,-0.14451075,1.0056176,-0.12453466,1.8811874,-0.06838659,1.009201,0.082267776,1.682327,-0.1137487,0.57713693,1.5116274,-0.013406961,2.6507144,0.58174896,-0.124067426,1.02468,-0.13705528,0.06788517,0.14622226,0.56950164,-0.15797043,0.1407332,0.26759592,-0.13229033,-0.03784992,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,1.0,1.0,50.0,50.0,100.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9338994,0.35696474,-0.81022954,0.06680032,0.023637526,4.242023,3.5507665,-0.10576258,-0.63956356,-0.21417335,1.5310942,-0.5151477,-0.812002,-0.13211839,-0.88270354,-0.7328373,0.49581,2.5274818,-0.6447682,1.9277306,0.29513717,1.1320897,0.93441087,2.8022146,-0.58334583,-0.2116972,-0.107222736,-0.21931367,0.23476228,0.75828624,0.57759047,2.3676252,-0.34702778,2.2766504,-0.1820248,0.05970245,1.9088584,0.71966404,-0.35484144,-0.67873585,-0.22624359,-0.50410396,0.72320646,0.31816393,-0.5754431,-0.3757959,-0.26122406,-0.331844,0.4633859,0.07616383,0.32980114,3.548256,0.41101527,1.2903899,0.80146873,-0.067074776,1.0471846,-0.80910385,0.06546115,-0.5983951,0.79259175,0.37651008,-0.8051806,-0.31795424,1.926593,-0.1897207,-0.21431397,-0.20220886,0.98156255,3.5507655,3.1087234,0.5450305,-0.036050834,-0.18414944,1.2011218,-0.20830776,-0.21020599,-0.19426033,-0.21607254,-0.095119886,0.95994526,3.9123378,-0.20824687,0.9609802,-0.17722128,1.8211846,1.1598904,2.9776096,-0.0710457,-0.18980022,0.006688497,-0.17483103,0.55130076,0.4385708,0.80244,3.417463,-0.17360084,2.826332,-0.18866932,-0.16493565,0.08194707,1.5614728,0.04883171,-0.2098753,0.6831353,-0.18048714,1.8607733,-0.13844489,0.097654425,-0.17097202,-0.2011064,-0.18876354,1.1607127,1.4904003,0.59520787,3.1547396,-0.1614423,0.8661651,1.8329153,-0.19100434,0.041619398,0.038413927,0.84300256,0.21363175,1.2944353,0.4617977,-0.21183918,-0.0946858,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,2.0,50.0,1.0,100.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14924307,-0.1722243,-0.77049357,-0.22844976,-0.48337153,0.21812443,-0.79899764,-0.048687555,-0.5685128,-0.37795287,0.461609,-0.40648705,-0.76903653,-0.5502267,-0.85655755,-0.6769922,0.25616524,-0.1656163,-0.5634507,1.8648475,-0.37426862,-0.7866351,-0.68474317,-0.17813568,-0.5870539,-0.2856962,0.07442254,0.048319384,0.49151137,0.011574503,-0.08722251,-0.36713743,0.048583947,-0.26522985,-0.41294715,0.28600696,-0.14812489,-0.6798924,-0.40731844,-0.6060692,-0.30017802,-0.89803636,-0.5377058,-0.009983574,-0.85328025,-0.6181276,-0.092729606,-0.2848029,0.43137923,-0.2845617,-0.301815,0.6691227,0.2619929,-0.5651474,0.12199609,0.23408867,1.0954449,-0.7821905,0.15033749,-0.47785282,-0.14537281,-0.09677846,-0.75838107,-0.5384615,2.1101694,-0.08001459,-0.10811637,-0.087883346,-0.03333026,-0.036691107,-0.11121,0.55380756,-0.09184831,-0.09515009,0.43163887,-0.101921074,-0.07162169,-0.084479846,-0.10931113,-0.10207771,-0.00740185,1.0546846,-0.09926984,1.1133778,-0.05993724,-0.10513886,0.093249075,1.1023312,-0.09352743,-0.09089895,-0.017783407,0.37001097,2.194049,-0.033695824,0.9006369,1.3015267,0.66047317,-0.047669318,-0.0713455,-0.04624814,-0.09483296,-0.10869729,-0.0399121,-0.09968139,-0.08347527,-0.11786822,0.18050937,-0.080933705,-0.116507836,-0.09515971,-0.088760704,-0.084060274,1.2243321,0.5758037,-0.07917553,-0.026382152,-0.030081939,0.38686532,2.143303,0.1184765,-0.030343877,-0.09692255,0.56249064,0.84003985,-0.055644955,-0.060861796,-0.10129665,-0.10404886,,11.63,0.10,0.06,0.20,0.03
gemm-blocked,1.0,1.0,1.0,1.0,100.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3255071,-0.21254426,-0.793664,-0.2953274,-0.3757969,3.7290723,2.5172856,-0.3590275,-0.60312885,-0.38752824,2.430351,-0.47007215,-0.79453534,-0.52053624,-0.87168527,-0.69880533,0.1398887,3.3130846,-0.609114,1.4324573,-0.26572892,3.0223753,-0.54906785,1.8202416,-0.5571985,-0.35052034,-0.03050408,-0.18848564,1.2131654,-0.08417799,-0.3970064,2.4152236,-0.2651416,2.499333,-0.45563632,0.16014045,-0.0025489,2.4969327,-0.4658363,-0.6463187,-0.36647472,-0.9089893,0.0950402,-0.107005395,-0.627667,-0.6604996,-0.18047073,-0.26346,0.31552756,-0.3768376,-0.3655689,4.986705,0.13112278,-0.53954303,1.3959639,0.05513594,0.8996828,-0.8038927,-0.103715174,-0.81774783,-0.07492616,0.24030145,-0.78387105,-0.58206093,1.287304,-0.15013817,-0.19625676,-0.17367776,3.119286,2.1358485,1.8798628,-0.18273813,-0.18307216,-0.15774304,2.070428,-0.16619916,1.4201093,-0.13602181,-0.19757521,-0.1876836,1.2634523,2.294877,-0.18938434,0.03999064,-0.058130488,2.2143924,1.1324235,2.3085654,0.43368012,-0.18104798,0.40735695,-0.15341346,0.85172445,0.16395402,-0.12052684,1.8753695,0.5535356,2.5438719,0.28771794,-0.13951716,0.74444443,2.145386,0.7420023,-0.18922995,-0.18133785,-0.204879,1.5764463,-0.17240907,0.72265023,-0.18496804,-0.1767779,-0.12797,1.1871494,1.0671883,-0.16738452,5.0857606,-0.12980233,0.5665376,2.1236382,-0.15320721,-0.12328559,-0.18620129,1.713428,0.066820934,1.4108093,0.8882494,-0.19311173,-0.19090068,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,2.0,50.0,1.0,100.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.599478,-0.14327356,-0.7664781,-0.19634664,-0.46690956,0.2899869,-0.7955611,-0.23125246,-0.5603844,-0.36354977,0.33794054,-0.37210822,-0.76466715,-0.54218835,-0.8540427,-0.66212887,0.2799596,-0.58042055,-0.5586195,1.5319092,-0.34016505,-0.7818938,-0.7153891,-0.5648405,-0.5785424,-0.2743582,0.09562566,-0.087266564,-0.30176523,0.12322521,-0.3899058,-0.83473957,-0.17074178,-0.25330177,-0.4025398,0.30744517,-0.06998592,-0.62243,-0.3961091,-0.59888375,-0.2863303,-0.8591271,-0.60074556,0.02179672,-0.7474013,-0.61163944,-0.073801845,-0.27128914,0.020864002,-0.4724483,-0.28975287,0.75643647,0.27925077,-0.6225665,-0.6436049,0.1897567,1.1616658,-0.7711648,-0.022252247,-0.80524194,-0.13085447,-0.08213812,-0.72687757,-0.4681772,2.2264314,-0.08174894,-0.11005261,-0.089439034,0.12185099,0.08413748,-0.113056526,-0.039746,-0.09962104,-0.09521249,0.1911861,-0.10034361,-0.10520031,-0.08575017,-0.1111446,-0.10214611,-0.017589431,0.07136442,-0.10201887,0.99089944,-0.06565631,-0.08552594,-0.013827882,1.6722796,-0.024633989,-0.09559944,-0.048128042,0.44078988,1.3650379,-0.031020679,1.6987468,1.7853615,0.921289,-0.050995357,-0.07855826,-0.045936096,-0.09772034,0.28949866,-0.066984154,-0.100866176,-0.09354063,-0.119768396,0.44261038,-0.08233513,2.189327,-0.09662965,-0.0873191,-0.08458969,1.7009859,0.3287343,-0.08036277,1.624344,-0.0327457,1.182382,2.0759604,-0.04613615,0.58636343,-0.09882869,0.9905783,0.6935861,-0.0772927,-0.0694772,-0.10651062,-0.10486642,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,16.0,50.0,50.0,50.0,100.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64818287,0.5185579,-0.7945883,0.14659001,-0.41127935,1.5743095,1.1510673,-0.014380289,-0.6074522,0.4511281,0.6827041,-0.46827915,-0.793951,0.2078661,-0.83393407,-0.6968431,0.63767886,-0.45902735,-0.5514834,2.1717212,1.2715132,-0.40770957,1.0602745,0.59119916,-0.62204033,-0.20700796,-0.021452699,-0.14072455,-0.4254682,1.2431315,0.08220674,-0.19734262,-0.28215465,-0.2536368,-0.20166518,0.16233052,2.4497037,-0.60467005,-0.2917133,-0.48544356,-0.25342786,-0.30489743,-0.5653827,0.44527608,-0.74910563,-0.3143468,-0.18967865,-0.26163438,-0.12936099,0.095561825,-0.22363423,0.7787005,0.20374669,1.4401579,-0.6799301,0.05490002,1.1235456,-0.7743224,0.061397955,-0.8374507,-0.18240869,-0.08680466,-0.7445861,-0.16362077,0.7628965,0.44821146,-0.23380601,-0.22348706,0.17363739,4.2014275,3.873833,0.97810084,-0.059697375,0.18318164,1.4010388,-0.22834843,-0.23037133,-0.21571973,-0.23509532,1.6207857,1.1637297,3.1300888,-0.2273531,1.2833041,-0.19968335,4.36914,0.5566759,3.6444483,1.6001291,-0.2098577,-0.01739689,-0.04570734,-0.10930552,0.40056103,1.6297046,6.1938624,0.07067538,1.9311572,-0.15242752,-0.18523663,0.49294323,2.175632,0.023437418,-0.22849023,0.36822394,-0.19982514,3.206612,-0.16017535,2.299299,-0.15771908,-0.2206127,0.62431216,0.08258623,0.54978794,3.3739266,6.314614,-0.1834147,0.42132628,3.4514258,-0.21169189,2.0291576,0.5670567,0.44386685,2.0048823,2.3263376,1.8506432,-0.23094982,1.3045723,,11.63,0.00,0.00,0.00,0.00
gemm-blocked,2.0,50.0,1.0,100.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14717843,-0.09968556,-0.7721482,-0.2476432,-0.49769342,0.19772558,-0.8004274,-0.066704646,-0.5782986,-0.38050592,0.4249041,-0.41070187,-0.77009535,-0.55436873,-0.86064553,-0.6853369,0.4467499,-0.16671129,-0.5553968,1.8160442,-0.14215015,-0.78913426,-0.68913496,-0.17761016,-0.59110934,-0.30016002,0.06726035,0.20067412,0.48408473,0.28195295,-0.09056653,-0.36754557,0.039801963,-0.26800352,-0.42440873,0.280465,-0.017500844,-0.68555987,-0.42384675,-0.6110161,-0.31718832,-0.8872177,-0.53995854,0.1848178,-0.8572099,-0.62562495,-0.10597391,-0.30356124,0.4078454,-0.29235527,-0.317504,0.66401637,0.36223543,-0.5759415,0.1229407,0.19463937,1.5857531,-0.62783515,0.25656858,-0.47776857,-0.080602005,-0.12831287,-0.76339126,-0.54909056,2.2101326,-0.08269983,-0.10789514,-0.09603068,-0.052252315,-0.04031461,-0.11150313,0.5774069,-0.092541195,-0.09338946,0.44604608,-0.10249454,-0.09813602,-0.08381837,-0.1109926,-0.106073774,-0.03166342,1.1048062,-0.1009936,1.1573012,-0.054087386,-0.101223215,0.10211787,1.1565341,-0.09311353,-0.09491013,-0.025493274,0.3902394,2.2954516,-0.043323644,0.94784904,1.3642825,0.68964803,-0.048007607,-0.077635854,-0.045369305,-0.10098758,-0.109984346,-0.06738974,-0.10099152,-0.08642332,-0.11929163,0.17491761,-0.081068665,-0.111883596,-0.09588992,-0.09068974,-0.091269374,1.2790233,0.60005003,-0.08368136,-0.024464598,-0.04046786,0.4088793,2.246133,0.11057857,-0.020885909,-0.09629874,0.5677305,0.8859509,-0.06837078,-0.07566685,-0.10299779,-0.10611697,,11.63,0.00,0.00,0.00,0.00
